Open time,Open,High,Low,Close
1503058218000,4336.52,4336.52,4336.52,4336.52
1503058219000,4336.52,4336.52,4336.52,4336.52
1503058220000,4336.52,4336.52,4336.52,4336.52
1503058221000,4336.52,4336.52,4336.52,4336.52
1503058222000,4336.52,4336.52,4336.52,4336.52
1503058223000,4336.52,4336.52,4336.52,4336.52
1503058224000,4336.52,4336.52,4336.52,4336.52
1503058225000,4336.52,4336.52,4336.52,4336.52
1503058226000,4336.52,4336.52,4336.52,4336.52
1503058227000,4336.52,4336.52,4336.52,4336.52
1503058228000,4336.52,4336.52,4336.52,4336.52
1503058229000,4336.52,4336.52,4336.52,4336.52
1503058230000,4336.52,4336.52,4336.52,4336.52
1503058231000,4336.52,4336.52,4336.52,4336.52
1503058232000,4336.52,4336.52,4336.52,4336.52
1503058233000,4336.52,4336.52,4336.52,4336.52
1503058234000,4336.52,4336.52,4336.52,4336.52
1503058235000,4336.52,4336.52,4336.52,4336.52
1503058236000,4336.52,4336.52,4336.52,4336.52
1503058237000,4336.52,4336.52,4336.52,4336.52
1503058238000,4336.52,4336.52,4336.52,4336.52
1503058239000,4336.52,4336.52,4336.52,4336.52
1503058240000,4336.52,4336.52,4336.52,4336.52
1503058241000,4336.52,4336.52,4336.52,4336.52
1503058242000,4336.52,4336.52,4336.52,4336.52
1503058243000,4336.52,4336.52,4336.52,4336.52
1503058244000,4336.52,4336.52,4336.52,4336.52
1503058245000,4336.52,4336.52,4336.52,4336.52
1503058246000,4336.52,4336.52,4336.52,4336.52
1503058247000,4336.52,4336.52,4336.52,4336.52
1503058248000,4336.52,4336.52,4336.52,4336.52
1503058249000,4336.52,4336.52,4336.52,4336.52
1503058250000,4336.52,4336.52,4336.52,4336.52
1503058251000,4336.52,4336.52,4336.52,4336.52
1503058252000,4336.52,4336.52,4336.52,4336.52
1503058253000,4336.52,4336.52,4336.52,4336.52
1503058254000,4336.52,4336.52,4336.52,4336.52
1503058255000,4336.52,4336.52,4336.52,4336.52
1503058256000,4336.52,4336.52,4336.52,4336.52
1503058257000,4336.52,4336.52,4336.52,4336.52
1503058258000,4336.52,4336.52,4336.52,4336.52
1503058259000,4336.52,4336.52,4336.52,4336.52
1503058260000,4336.52,4336.52,4336.52,4336.52
1503058261000,4336.52,4336.52,4336.52,4336.52
1503058262000,4336.52,4336.52,4336.52,4336.52
1503058263000,4336.52,4336.52,4336.52,4336.52
1503058264000,4336.52,4336.52,4336.52,4336.52
1503058265000,4336.52,4336.52,4336.52,4336.52
1503058266000,4336.52,4336.52,4336.52,4336.52
1503058267000,4336.52,4336.52,4336.52,4336.52
1503058268000,4336.52,4336.52,4336.52,4336.52
1503058269000,4336.52,4336.52,4336.52,4336.52
1503058270000,4336.52,4336.52,4336.52,4336.52
1503058271000,4336.52,4336.52,4336.52,4336.52
1503058272000,4336.52,4336.52,4336.52,4336.52
1503058273000,4336.52,4336.52,4336.52,4336.52
1503058274000,4336.52,4336.52,4336.52,4336.52
1503058275000,4336.52,4336.52,4336.52,4336.52
1503058276000,4336.52,4336.52,4336.52,4336.52
1503058277000,4336.52,4336.52,4336.52,4336.52
1503058278000,4336.52,4336.52,4336.52,4336.52
1503058279000,4336.52,4336.52,4336.52,4336.52
1503058280000,4336.52,4336.52,4336.52,4336.52
1503058281000,4336.52,4336.52,4336.52,4336.52
1503058282000,4336.52,4336.52,4336.52,4336.52
1503058283000,4336.52,4336.52,4336.52,4336.52
1503058284000,4336.52,4336.52,4336.52,4336.52
1503058285000,4336.52,4336.52,4336.52,4336.52
1503058286000,4336.52,4336.52,4336.52,4336.52
1503058287000,4336.52,4336.52,4336.52,4336.52
1503058288000,4338.8,4338.8,4338.8,4338.8
1503058289000,4338.8,4338.8,4338.8,4338.8
1503058290000,4338.8,4338.8,4338.8,4338.8
1503058291000,4338.8,4338.8,4338.8,4338.8
1503058292000,4338.8,4338.8,4338.8,4338.8
1503058293000,4338.8,4338.8,4338.8,4338.8
1503058294000,4338.8,4338.8,4338.8,4338.8
1503058295000,4338.8,4338.8,4338.8,4338.8
1503058296000,4338.8,4338.8,4338.8,4338.8
1503058297000,4338.8,4338.8,4338.8,4338.8
1503058298000,4338.8,4338.8,4338.8,4338.8
1503058299000,4338.8,4338.8,4338.8,4338.8
1503058300000,4338.8,4338.8,4338.8,4338.8
1503058301000,4338.8,4338.8,4338.8,4338.8
1503058302000,4338.8,4338.8,4338.8,4338.8
1503058303000,4338.8,4338.8,4338.8,4338.8
1503058304000,4338.8,4338.8,4338.8,4338.8
1503058305000,4338.8,4338.8,4338.8,4338.8
1503058306000,4338.8,4338.8,4338.8,4338.8
1503058307000,4338.8,4338.8,4338.8,4338.8
1503058308000,4338.8,4338.8,4338.8,4338.8
1503058309000,4338.8,4338.8,4338.8,4338.8
1503058310000,4338.8,4338.8,4338.8,4338.8
1503058311000,4338.8,4338.8,4338.8,4338.8
1503058312000,4338.8,4338.8,4338.8,4338.8
1503058313000,4338.8,4338.8,4338.8,4338.8
1503058314000,4338.8,4338.8,4338.8,4338.8
1503058315000,4338.8,4338.8,4338.8,4338.8
1503058316000,4338.8,4338.8,4338.8,4338.8
1503058317000,4338.8,4338.8,4338.8,4338.8
1503058318000,4338.8,4338.8,4338.8,4338.8
1503058319000,4338.8,4338.8,4338.8,4338.8
1503058320000,4338.8,4338.8,4338.8,4338.8
1503058321000,4338.8,4338.8,4338.8,4338.8
1503058322000,4338.8,4338.8,4338.8,4338.8
1503058323000,4338.8,4338.8,4338.8,4338.8
1503058324000,4338.8,4338.8,4338.8,4338.8
1503058325000,4338.8,4338.8,4338.8,4338.8
1503058326000,4338.8,4338.8,4338.8,4338.8
1503058327000,4338.8,4338.8,4338.8,4338.8
1503058328000,4338.8,4338.8,4338.8,4338.8
1503058329000,4338.8,4338.8,4338.8,4338.8
1503058330000,4338.8,4338.8,4338.8,4338.8
1503058331000,4338.8,4338.8,4338.8,4338.8
1503058332000,4338.8,4338.8,4338.8,4338.8
1503058333000,4338.8,4338.8,4338.8,4338.8
1503058334000,4338.8,4338.8,4338.8,4338.8
1503058335000,4338.8,4338.8,4338.8,4338.8
1503058336000,4338.8,4338.8,4338.8,4338.8
1503058337000,4338.8,4338.8,4338.8,4338.8
1503058338000,4338.8,4338.8,4338.8,4338.8
1503058339000,4338.8,4338.8,4338.8,4338.8
1503058340000,4338.8,4338.8,4338.8,4338.8
1503058341000,4338.8,4338.8,4338.8,4338.8
1503058342000,4338.8,4338.8,4338.8,4338.8
1503058343000,4338.8,4338.8,4338.8,4338.8
1503058344000,4338.8,4338.8,4338.8,4338.8
1503058345000,4338.8,4338.8,4338.8,4338.8
1503058346000,4338.8,4338.8,4338.8,4338.8
1503058347000,4338.8,4338.8,4338.8,4338.8
1503058348000,4338.8,4338.8,4338.8,4338.8
1503058349000,4338.8,4338.8,4338.8,4338.8
1503058350000,4338.8,4338.8,4338.8,4338.8
1503058351000,4338.8,4338.8,4338.8,4338.8
1503058352000,4338.8,4338.8,4338.8,4338.8
1503058353000,4338.8,4338.8,4338.8,4338.8
1503058354000,4338.8,4338.8,4338.8,4338.8
1503058355000,4338.8,4338.8,4338.8,4338.8
1503058356000,4338.8,4338.8,4338.8,4338.8
1503058357000,4338.8,4338.8,4338.8,4338.8
1503058358000,4338.8,4338.8,4338.8,4338.8
1503058359000,4338.8,4338.8,4338.8,4338.8
1503058360000,4338.8,4338.8,4338.8,4338.8
1503058361000,4338.8,4338.8,4338.8,4338.8
1503058362000,4338.8,4338.8,4338.8,4338.8
1503058363000,4338.8,4338.8,4338.8,4338.8
1503058364000,4338.8,4338.8,4338.8,4338.8
1503058365000,4338.8,4338.8,4338.8,4338.8
1503058366000,4338.8,4338.8,4338.8,4338.8
1503058367000,4338.8,4338.8,4338.8,4338.8
1503058368000,4338.8,4338.8,4338.8,4338.8
1503058369000,4338.8,4338.8,4338.8,4338.8
1503058370000,4338.8,4338.8,4338.8,4338.8
1503058371000,4338.8,4338.8,4338.8,4338.8
1503058372000,4338.8,4338.8,4338.8,4338.8
1503058373000,4338.8,4338.8,4338.8,4338.8
1503058374000,4338.8,4338.8,4338.8,4338.8
1503058375000,4338.8,4338.8,4338.8,4338.8
1503058376000,4338.8,4338.8,4338.8,4338.8
1503058377000,4338.8,4338.8,4338.8,4338.8
1503058378000,4338.8,4338.8,4338.8,4338.8
1503058379000,4338.8,4338.8,4338.8,4338.8
1503058380000,4338.8,4338.8,4338.8,4338.8
1503058381000,4338.8,4338.8,4338.8,4338.8
1503058382000,4338.8,4338.8,4338.8,4338.8
1503058383000,4338.8,4338.8,4338.8,4338.8
1503058384000,4338.8,4338.8,4338.8,4338.8
1503058385000,4338.8,4338.8,4338.8,4338.8
1503058386000,4338.8,4338.8,4338.8,4338.8
1503058387000,4338.8,4338.8,4338.8,4338.8
1503058388000,4338.8,4338.8,4338.8,4338.8
1503058389000,4338.8,4338.8,4338.8,4338.8
1503058390000,4338.8,4338.8,4338.8,4338.8
1503058391000,4338.8,4338.8,4338.8,4338.8
1503058392000,4338.8,4338.8,4338.8,4338.8
1503058393000,4338.8,4338.8,4338.8,4338.8
1503058394000,4338.8,4338.8,4338.8,4338.8
1503058395000,4338.8,4338.8,4338.8,4338.8
1503058396000,4338.8,4338.8,4338.8,4338.8
1503058397000,4338.8,4338.8,4338.8,4338.8
1503058398000,4338.8,4338.8,4338.8,4338.8
1503058399000,4338.8,4338.8,4338.8,4338.8
1503058400000,4338.8,4338.8,4338.8,4338.8
1503058401000,4338.8,4338.8,4338.8,4338.8
1503058402000,4338.8,4338.8,4338.8,4338.8
1503058403000,4338.8,4338.8,4338.8,4338.8
1503058404000,4338.8,4338.8,4338.8,4338.8
1503058405000,4338.8,4338.8,4338.8,4338.8
1503058406000,4338.8,4338.8,4338.8,4338.8
